created_at,tweet
Thu Feb 09 02:06:17 +0000 2023,"@RodrygoGoes Vai esquentar banco pelo resto da vida no Real Madrid, seu bosta.
Deveria é tomar vergonha na cara e f… https://t.co/ebhZMttMVX"
Thu Feb 09 02:06:12 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Thu Feb 09 02:04:49 +0000 2023,"@futebol_info Jogador ruim e pipoqueiro.
Eterno banco do Real Madrid, e esse lixo ainda eliminou o Brasil na copa."
Thu Feb 09 02:04:08 +0000 2023,desrespeitoso nada profissional tá com o ego lá no alto devia relembrar que fez o brasil passar vergonha na copa é… https://t.co/0zRu53jh7z
Thu Feb 09 02:02:46 +0000 2023,"@futebol_info mas o responsável pela eliminação do Brasil na copa veio com aquele papinho, caiu quem quis"
Thu Feb 09 02:01:03 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Thu Feb 09 01:59:53 +0000 2023,"Aí um neotático diz que o futebol sul-americano está mal apesar da Argentina campeã do mundo; outro, que o portuguê… https://t.co/zXZy8012tS"
Thu Feb 09 01:57:28 +0000 2023,@Gh96n @RodrygoGoes Vcs tem merda na cabeça zuando o raio por isso sendo que seu MAIOR ídolo errou o pênalti que fe… https://t.co/7HN9ksOxKO
Thu Feb 09 01:56:47 +0000 2023,@thiago26barros @RodrygoGoes Vcs tem merda na cabeça zuando o raio por isso sendo que seu MAIOR ídolo errou o pênal… https://t.co/WS66nOH8v7
Thu Feb 09 01:49:20 +0000 2023,esse aí que tá metendo banca é o mesmo que errou o pênalti e ajudou a eliminar o Brasil na copa? segura aí filhote https://t.co/vYloC0jCZb
Thu Feb 09 01:42:32 +0000 2023,"RT @ThiagoRebelo4: @RodrygoGoes O mundo dá voltas. Vamos ver o que o futuro reserva para você.

Até pq o seu passado recente profissionalme…"
Thu Feb 09 01:39:13 +0000 2023,"@cafecomshin @goleadadazoeira Concordo! Argentina foi campeã com jogadores do River e Boca. Aliás, o Messi joga no… https://t.co/58QD9LellB"
Thu Feb 09 01:31:07 +0000 2023,@Wand_Stats @kjdakda Seria interessante uma lista de clubes brasileiros que mais cederam gols pro Brasil na Copa Am… https://t.co/qJBUAilmlz
Thu Feb 09 01:30:10 +0000 2023,"RT @Mulambada1895: @goleada_info Rodrygo, o responsável pela eliminação precoce do Brasil na Copa kkk. Esse nasceu pra ser sombra do Vini.…"
Thu Feb 09 01:27:20 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Thu Feb 09 01:25:09 +0000 2023,Juro... Eu tô tentando entender até agora pq eu tava com gorro de papai Noel no dia do jogo do Brasil na copa do mu… https://t.co/53nUIik3pV
Thu Feb 09 01:24:30 +0000 2023,"RT @ThiagoRebelo4: @RodrygoGoes O mundo dá voltas. Vamos ver o que o futuro reserva para você.

Até pq o seu passado recente profissionalme…"
Thu Feb 09 01:24:17 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Thu Feb 09 01:24:09 +0000 2023,@Scorpio10299835 Formação campeã do mundo?
Thu Feb 09 01:21:11 +0000 2023,"@Rhamon_Jandre @RodrygoGoes @vinijr Eu já sabia que tu ia perder o pênalti e afundar o Brasil na Copa do Mundo, tod… https://t.co/Np27GC3Jlo"
Thu Feb 09 01:17:19 +0000 2023,"RT @carolfaria__: estava todo mundo apostando no brasil na copa, mas alguém pipocou"
Thu Feb 09 01:14:22 +0000 2023,"RT @carolfaria__: estava todo mundo apostando no brasil na copa, mas alguém pipocou"
Thu Feb 09 01:14:16 +0000 2023,"@SidenirM @lancenet Argentina uma seleção sul-americana acabou de ser campeã do mundo, o futebol brasileiro que est… https://t.co/gwXBP0gnTp"
Thu Feb 09 01:13:05 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Thu Feb 09 01:10:59 +0000 2023,"RT @jorgitovaIdivia: @guizadahr_ @Paintmeiras Sempre defendi que o Palmeiras deveria olhar com carinho pro promissor mercado árabe.

Humilh…"
Thu Feb 09 01:10:28 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Thu Feb 09 01:07:14 +0000 2023,"@guizadahr_ @Paintmeiras Sempre defendi que o Palmeiras deveria olhar com carinho pro promissor mercado árabe.

Hum… https://t.co/G3G3sc0JFc"
Thu Feb 09 01:05:46 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Thu Feb 09 01:03:56 +0000 2023,o Rodrygo que tá tirando sarro do flamengo é o mesmo Rodrygo que perdeu um pênalti e eliminou o Brasil na copa né?
Thu Feb 09 00:59:30 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Thu Feb 09 00:58:39 +0000 2023,"RT @brunomassa: E o Rodrigo, à partir de agora será um dos principais vilões da eliminação do Brasil na Copa, não terá o reconhecimento da…"
Thu Feb 09 00:58:30 +0000 2023,@RodrygoGoes @DaniCeballos46 Seu bost. Fdppp vc eliminou o Brasil na copa e agora quer fazer gracinha  seu lixooooo… https://t.co/xI3v7FD7av
Thu Feb 09 00:58:07 +0000 2023,O vira-latismo e a chupação de saco dos gringos é irritante. A atual campeã do mundo é a Argentina e o colossal Bra… https://t.co/wVbdZMAhqk
Thu Feb 09 00:58:01 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Thu Feb 09 00:49:08 +0000 2023,"RT @carolfaria__: estava todo mundo apostando no brasil na copa, mas alguém pipocou"
Thu Feb 09 00:46:30 +0000 2023,"RT @brunomassa: E o Rodrigo, à partir de agora será um dos principais vilões da eliminação do Brasil na Copa, não terá o reconhecimento da…"
Thu Feb 09 00:45:34 +0000 2023,@RodrygoGoes @vinijr Falou o cara que prejudicou o Brasil na Copa.
Thu Feb 09 00:44:32 +0000 2023,@ArnaldoJRibeiro Falou o cara que eliminou o Brasil na copa
Thu Feb 09 00:39:31 +0000 2023,"Vou ser bem sincera com vocês:

depois de 2 frustrações futebolisticamente que eu tive ano passado com a final da s… https://t.co/SaJJRQIrGD"
Thu Feb 09 00:36:20 +0000 2023,"@RodrygoGoes O mundo dá voltas. Vamos ver o que o futuro reserva para você.

Até pq o seu passado recente profissio… https://t.co/hMDrsRZgum"
Thu Feb 09 00:33:11 +0000 2023,"RT @carolfaria__: estava todo mundo apostando no brasil na copa, mas alguém pipocou"
Thu Feb 09 00:32:43 +0000 2023,A única relevância futebolística que o Rodrygo tem na atual temporada foi perder um dos pênaltis que eliminou o Bra… https://t.co/R8aFfuQPX4
Thu Feb 09 00:30:45 +0000 2023,"RT @brunomassa: E o Rodrigo, à partir de agora será um dos principais vilões da eliminação do Brasil na Copa, não terá o reconhecimento da…"
Thu Feb 09 00:28:37 +0000 2023,dia do primeiro jogo do Brasil na copa foi tão bom... sdds
